_time,successRate
03:00:00,100
03:00:00,50
03:00:00,100
03:00:00,100
03:00:00,50
03:00:00,100
03:00:00,100
03:00:00,50
03:00:00,100
03:00:00,100
03:00:00,50
03:00:00,100
03:00:00,100
03:00:00,100
03:00:00,50
03:00:00,100
03:00:00,100
03:00:00,100
03:00:00,50
03:00:00,100
03:00:00,100
03:00:00,50
03:00:00,100
03:00:00,50
